bin_maxbins_20_x,bin_maxbins_20_x_end,bin_maxbins_20_y,bin_maxbins_20_y_end,mean_z
80.0,85.0,5.0,10.0,0.48764109582821186
35.0,40.0,15.0,20.0,0.49457709820541124
90.0,95.0,5.0,10.0,0.47132860253911757
65.0,70.0,5.0,10.0,0.4707489249507549
0.0,5.0,0.0,5.0,0.49727428635582244
25.0,30.0,30.0,35.0,0.4785556750641417
70.0,75.0,10.0,15.0,0.5198555729458553
85.0,90.0,30.0,35.0,0.520121741365474
55.0,60.0,35.0,40.0,0.5054421328856948
0.0,5.0,45.0,50.0,0.49437781383176227
85.0,90.0,25.0,30.0,0.457372351477228
15.0,20.0,10.0,15.0,0.4942843683582182
40.0,45.0,5.0,10.0,0.485879996818975
10.0,15.0,20.0,25.0,0.5245637839154186
75.0,80.0,15.0,20.0,0.5063342525416022
90.0,95.0,25.0,30.0,0.5055327962489521
45.0,50.0,5.0,10.0,0.48288883156078205
80.0,85.0,35.0,40.0,0.5038426511414437
45.0,50.0,35.0,40.0,0.5227548748975345
5.0,10.0,0.0,5.0,0.5300105037080199
95.0,100.0,15.0,20.0,0.49215642218597905
25.0,30.0,5.0,10.0,0.5054753917684798
55.0,60.0,40.0,45.0,0.4860226859633385
20.0,25.0,20.0,25.0,0.5017982995919689
85.0,90.0,15.0,20.0,0.5253803033519655
85.0,90.0,40.0,45.0,0.4879494895115817
80.0,85.0,10.0,15.0,0.505696497012758
30.0,35.0,10.0,15.0,0.48870565613440786
30.0,35.0,40.0,45.0,0.5195756728806955
25.0,30.0,40.0,45.0,0.48504683189739733
95.0,100.0,45.0,50.0,0.5190441910822545
0.0,5.0,20.0,25.0,0.49426318167899896
5.0,10.0,10.0,15.0,0.48384877457695413
70.0,75.0,45.0,50.0,0.49528045834560025
80.0,85.0,30.0,35.0,0.5027965193673095
80.0,85.0,25.0,30.0,0.4889049747354396
15.0,20.0,15.0,20.0,0.5064393020541761
65.0,70.0,15.0,20.0,0.47542506892041553
50.0,55.0,35.0,40.0,0.518642910750012
10.0,15.0,45.0,50.0,0.5107221795607582
10.0,15.0,5.0,10.0,0.5111870989236518
45.0,50.0,20.0,25.0,0.5111968259754537
55.0,60.0,30.0,35.0,0.4779703914302308
70.0,75.0,0.0,5.0,0.47870732636956476
10.0,15.0,40.0,45.0,0.5218487438254286
20.0,25.0,25.0,30.0,0.5126772604765016
90.0,95.0,45.0,50.0,0.5220755979275797
60.0,65.0,45.0,50.0,0.5009090675850151
15.0,20.0,20.0,25.0,0.540347334858728
65.0,70.0,45.0,50.0,0.5056287212240137
0.0,5.0,35.0,40.0,0.4898400335854963
0.0,5.0,5.0,10.0,0.487531157406643
70.0,75.0,5.0,10.0,0.45528956990888597
60.0,65.0,0.0,5.0,0.4749355187086556
20.0,25.0,15.0,20.0,0.49823233065158873
75.0,80.0,25.0,30.0,0.5043145315134842
25.0,30.0,45.0,50.0,0.5123503490987054
65.0,70.0,25.0,30.0,0.47948807434789215
25.0,30.0,0.0,5.0,0.4881743148678968
75.0,80.0,35.0,40.0,0.508968578930631
80.0,85.0,0.0,5.0,0.46867412709946854
30.0,35.0,15.0,20.0,0.5178871438468045
70.0,75.0,35.0,40.0,0.5209361073519266
60.0,65.0,25.0,30.0,0.4775482417825044
50.0,55.0,25.0,30.0,0.508569865259681
90.0,95.0,0.0,5.0,0.48082716450359136
90.0,95.0,20.0,25.0,0.5047983297115672
10.0,15.0,15.0,20.0,0.5193951131438295
5.0,10.0,25.0,30.0,0.4829243689322407
65.0,70.0,0.0,5.0,0.4975698639855488
60.0,65.0,30.0,35.0,0.4810499254529963
50.0,55.0,0.0,5.0,0.48438670026456443
55.0,60.0,15.0,20.0,0.520935401187229
90.0,95.0,35.0,40.0,0.4890061131946178
60.0,65.0,5.0,10.0,0.4938852629973027
5.0,10.0,35.0,40.0,0.5083310498004358
30.0,35.0,25.0,30.0,0.4893472219886113
70.0,75.0,15.0,20.0,0.47795017329358735
40.0,45.0,15.0,20.0,0.5215083824806418
50.0,55.0,5.0,10.0,0.5293572337918427
35.0,40.0,25.0,30.0,0.49770342428199515
