bin_maxbins_20_x,bin_maxbins_20_x_end,bin_maxbins_20_y,bin_maxbins_20_y_end,mean_z
80.0,85.0,5.0,10.0,0.5138270981282331
10.0,15.0,10.0,15.0,0.5184726411723605
0.0,5.0,40.0,45.0,0.46649074005020674
90.0,95.0,5.0,10.0,0.5532920480714723
35.0,40.0,20.0,25.0,0.4998799322627462
30.0,35.0,20.0,25.0,0.49889061127104173
25.0,30.0,10.0,15.0,0.4723488388054598
15.0,20.0,40.0,45.0,0.4807506048877511
90.0,95.0,40.0,45.0,0.5156936410943429
10.0,15.0,20.0,25.0,0.4869340591995079
85.0,90.0,0.0,5.0,0.47076487672981715
90.0,95.0,35.0,40.0,0.5133984742148673
65.0,70.0,40.0,45.0,0.44980958921481556
10.0,15.0,5.0,10.0,0.5067841305591485
75.0,80.0,20.0,25.0,0.5117823437835324
50.0,55.0,35.0,40.0,0.446131719633072
0.0,5.0,20.0,25.0,0.5224894447748384
0.0,5.0,35.0,40.0,0.5034352091789621
10.0,15.0,0.0,5.0,0.5224356021044566
25.0,30.0,15.0,20.0,0.4911025658970695
60.0,65.0,5.0,10.0,0.5039844457354646
0.0,5.0,0.0,5.0,0.5063044895929668
70.0,75.0,25.0,30.0,0.5185241076361686
25.0,30.0,0.0,5.0,0.47625625507479236
90.0,95.0,45.0,50.0,0.5207572203242279
80.0,85.0,30.0,35.0,0.49299260259716005
85.0,90.0,15.0,20.0,0.4702973274555508
65.0,70.0,0.0,5.0,0.4977260012976644
50.0,55.0,40.0,45.0,0.5089394031173693
25.0,30.0,25.0,30.0,0.5160241425912068
55.0,60.0,40.0,45.0,0.528339967267839
75.0,80.0,15.0,20.0,0.49117939144383643
35.0,40.0,30.0,35.0,0.5264805545418163
0.0,5.0,30.0,35.0,0.4856905615569512
95.0,100.0,45.0,50.0,0.4890671361391785
20.0,25.0,45.0,50.0,0.5003023634977948
85.0,90.0,40.0,45.0,0.48107105804085715
50.0,55.0,20.0,25.0,0.4599134159865615
40.0,45.0,10.0,15.0,0.511896986706183
35.0,40.0,45.0,50.0,0.5084722582839372
15.0,20.0,5.0,10.0,0.4798132056728495
25.0,30.0,40.0,45.0,0.5065650153756346
95.0,100.0,0.0,5.0,0.4853931129789657
40.0,45.0,40.0,45.0,0.4868449577628911
10.0,15.0,45.0,50.0,0.5328876015222233
45.0,50.0,10.0,15.0,0.5141172180803454
10.0,15.0,40.0,45.0,0.48533592416624205
45.0,50.0,15.0,20.0,0.5075973122034954
40.0,45.0,5.0,10.0,0.4903915110406791
75.0,80.0,35.0,40.0,0.5028705681852631
30.0,35.0,25.0,30.0,0.4978925486908462
5.0,10.0,25.0,30.0,0.49401071133671964
90.0,95.0,30.0,35.0,0.5069091531867289
55.0,60.0,0.0,5.0,0.5069009350752705
65.0,70.0,10.0,15.0,0.4895207337188965
15.0,20.0,20.0,25.0,0.5009361133257912
70.0,75.0,5.0,10.0,0.5058765886613547
35.0,40.0,25.0,30.0,0.48016045609592206
70.0,75.0,15.0,20.0,0.4866859152796069
20.0,25.0,20.0,25.0,0.5127341990920425
5.0,10.0,15.0,20.0,0.46966334744626104
80.0,85.0,20.0,25.0,0.5219477368282232
25.0,30.0,45.0,50.0,0.5141527442085277
95.0,100.0,40.0,45.0,0.513532502099182
10.0,15.0,35.0,40.0,0.5533793356235432
35.0,40.0,40.0,45.0,0.5113687062828397
55.0,60.0,15.0,20.0,0.5037575144226731
45.0,50.0,40.0,45.0,0.5137446586099246
20.0,25.0,30.0,35.0,0.4827989013407203
25.0,30.0,30.0,35.0,0.517626578192571
85.0,90.0,45.0,50.0,0.4983791821287469
30.0,35.0,0.0,5.0,0.5144239855097872
85.0,90.0,5.0,10.0,0.4768273504137284
80.0,85.0,25.0,30.0,0.4929962818279081
5.0,10.0,40.0,45.0,0.5240799195167245
75.0,80.0,5.0,10.0,0.478238943013363
80.0,85.0,15.0,20.0,0.5183618775696784
30.0,35.0,15.0,20.0,0.48538939635063966
55.0,60.0,30.0,35.0,0.5043059690586678
45.0,50.0,45.0,50.0,0.5139593092060073
30.0,35.0,35.0,40.0,0.518991482542884
80.0,85.0,45.0,50.0,0.5175279203428427
85.0,90.0,10.0,15.0,0.5149568929798617
70.0,75.0,45.0,50.0,0.49332175766439323
25.0,30.0,35.0,40.0,0.48675616254752424
85.0,90.0,25.0,30.0,0.515506243377955
40.0,45.0,45.0,50.0,0.49511300400427954
95.0,100.0,20.0,25.0,0.51028871152753
5.0,10.0,35.0,40.0,0.48186779129790264
25.0,30.0,5.0,10.0,0.506380329844247
0.0,5.0,45.0,50.0,0.5088036882955693
40.0,45.0,15.0,20.0,0.4756272104716623
50.0,55.0,15.0,20.0,0.499877265807712
30.0,35.0,30.0,35.0,0.4854794318490159
70.0,75.0,0.0,5.0,0.5078484334601684
90.0,95.0,0.0,5.0,0.5217186414122618
40.0,45.0,35.0,40.0,0.5104487537833698
60.0,65.0,20.0,25.0,0.4866877318637514
15.0,20.0,15.0,20.0,0.4872499697147791
95.0,100.0,5.0,10.0,0.48675233255568556
70.0,75.0,40.0,45.0,0.49718743418346034
65.0,70.0,45.0,50.0,0.4845556893381734
95.0,100.0,35.0,40.0,0.48305456389181367
50.0,55.0,30.0,35.0,0.5016585444717329
70.0,75.0,30.0,35.0,0.5303386306817396
45.0,50.0,0.0,5.0,0.5018005834061541
15.0,20.0,30.0,35.0,0.4851216882680462
60.0,65.0,15.0,20.0,0.5048789814391041
10.0,15.0,30.0,35.0,0.5284248790149633
95.0,100.0,25.0,30.0,0.5174299464241973
20.0,25.0,25.0,30.0,0.47862192096393447
75.0,80.0,30.0,35.0,0.5003157702231329
5.0,10.0,10.0,15.0,0.5101249831694911
45.0,50.0,25.0,30.0,0.5284508429941639
45.0,50.0,30.0,35.0,0.48876089960326624
75.0,80.0,0.0,5.0,0.49834045095864504
55.0,60.0,20.0,25.0,0.5257778939967989
65.0,70.0,15.0,20.0,0.5008291570486322
85.0,90.0,30.0,35.0,0.5197386107164965
65.0,70.0,25.0,30.0,0.47819594136442267
10.0,15.0,25.0,30.0,0.49416189357703044
35.0,40.0,15.0,20.0,0.4681978446276768
55.0,60.0,25.0,30.0,0.5162086784425653
0.0,5.0,25.0,30.0,0.4973915057614863
90.0,95.0,25.0,30.0,0.5209352669908315
60.0,65.0,45.0,50.0,0.5057360754024022
20.0,25.0,40.0,45.0,0.5062880183631212
60.0,65.0,35.0,40.0,0.5004969832047513
80.0,85.0,35.0,40.0,0.49258344054424547
35.0,40.0,5.0,10.0,0.5150299759556011
60.0,65.0,10.0,15.0,0.4949255720274942
65.0,70.0,35.0,40.0,0.5338589769783545
75.0,80.0,10.0,15.0,0.4849038901737862
60.0,65.0,25.0,30.0,0.5141543727006915
35.0,40.0,0.0,5.0,0.5153644764541867
5.0,10.0,20.0,25.0,0.47847161500610014
5.0,10.0,0.0,5.0,0.5082921489569971
65.0,70.0,20.0,25.0,0.5086315068669779
15.0,20.0,25.0,30.0,0.48907159139874457
15.0,20.0,45.0,50.0,0.5203240147123387
80.0,85.0,10.0,15.0,0.48716805970857197
70.0,75.0,35.0,40.0,0.4975559535904441
30.0,35.0,40.0,45.0,0.49975134178717023
50.0,55.0,0.0,5.0,0.49058273045526896
95.0,100.0,15.0,20.0,0.5123510041018904
85.0,90.0,20.0,25.0,0.5052770041048483
65.0,70.0,5.0,10.0,0.5067861330459636
5.0,10.0,5.0,10.0,0.5234239078685508
40.0,45.0,20.0,25.0,0.4936263024920802
5.0,10.0,30.0,35.0,0.48001245812729904
25.0,30.0,20.0,25.0,0.4926430892474398
35.0,40.0,10.0,15.0,0.48888341872831803
15.0,20.0,35.0,40.0,0.516385904106423
90.0,95.0,15.0,20.0,0.49064313189138775
70.0,75.0,20.0,25.0,0.4884759263051114
50.0,55.0,10.0,15.0,0.4949050493239002
80.0,85.0,0.0,5.0,0.48481999802410647
90.0,95.0,20.0,25.0,0.5026816846100896
20.0,25.0,5.0,10.0,0.4973141114905873
30.0,35.0,45.0,50.0,0.49596741408948375
55.0,60.0,45.0,50.0,0.49741387603906345
20.0,25.0,0.0,5.0,0.5087145416988981
50.0,55.0,45.0,50.0,0.49149958816624734
5.0,10.0,45.0,50.0,0.46714438596480345
70.0,75.0,10.0,15.0,0.500104513492185
60.0,65.0,0.0,5.0,0.5019725275404859
60.0,65.0,30.0,35.0,0.48779032207851486
20.0,25.0,10.0,15.0,0.4943764212610289
30.0,35.0,10.0,15.0,0.47912773861230634
55.0,60.0,5.0,10.0,0.47324706153697604
65.0,70.0,30.0,35.0,0.4719625214513358
30.0,35.0,5.0,10.0,0.5102285679444863
15.0,20.0,10.0,15.0,0.4817019109363075
40.0,45.0,0.0,5.0,0.49948516779718566
